rank,run_id,model,feature_set,train_period,valid_period,test_period,data_start,data_end,test_wrmse,test_wmae,test_diracc
68,20260115_205014,BASELINE_NAIVE,baseline,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0277918784729908,0.0200514818408302,0.5141129032258065
69,20260115_222938,BASELINE_NAIVE,baseline,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.029819960287549,0.0217318791210994,0.5060240963855421
70,20260115_205014,LSTM,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.037175890058279,0.0302682947367429,0.558091286307054
71,20260115_213310,LSTM,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0371758975088596,0.0302682984620332,0.558091286307054
72,20260115_222938,GRU,neural_40,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0710775628685951,0.0562554039061069,0.5607094133697135
73,20260118_111753,LSTM,neural_80,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0755604729056358,0.0693446397781372,0.5866666666666667
74,20260118_111753,LSTM,neural_40,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0755604729056358,0.0693446397781372,0.5866666666666667
75,20260118_092009,LSTM,neural_40,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0755605548620224,0.0693447366356849,0.5866666666666667
76,20260118_092009,LSTM,neural_80,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0755605548620224,0.0693447366356849,0.5866666666666667
77,20260115_222938,Hybrid-Par,neural_40,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.0772409215569496,0.0610700361430645,0.5020463847203275
78,20260115_222938,Hybrid-Par,neural_80,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.1019298434257507,0.0605936236679554,0.4706684856753069
79,20260115_213310,Hybrid-Par,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.1055962368845939,0.0913062691688537,0.4211618257261411
80,20260115_211034,Hybrid-Par,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.1100074872374534,0.0820203274488449,0.504149377593361
81,20260115_222938,Hybrid-Seq,neural_80,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.1330207139253616,0.12002844363451,0.4461118690313779
82,20260115_205014,Hybrid-Par,neural_40,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.2531706094741821,0.2197823375463485,0.4211618257261411
